Delay time,Estimated Surface (sq m),Estimated Height (m),Floors,Num of Workers,Bad Weather Factor (%),Design Variation Factor (%),Material Factor (%),Gov Regulation Factor (%),Site Condition Factor (%)
13,2128,21,2,96,0.32,0.32,0.04,0.77,0.12
147,131,10,6,107,0.32,0.16,0.03,0.87,0.33
14,2909,10,1,142,0.32,0.24,0.03,0.75,0.12
18,1143,28,4,66,0.32,0.24,0.04,0.32,0.13
135,897,5,2,30,0.32,0.24,0.02,0.71,0.31
63,261,14,6,102,0.32,0.32,0.11,0.48,0.79
14,1991,12,1,73,0.32,0.16,0.04,0.84,0.12
13,317,23,3,17,0.32,0.4,0.04,0.45,0.12
111,1322,17,4,83,0.32,0.16,-0.0,0.41,0.27
80,2192,14,3,25,0.32,0.24,0.14,0.88,0.01
21,2832,16,1,67,0.32,0.24,0.05,0.32,0.13
17,2072,5,4,128,0.32,0.16,0.06,0.75,0.13
7,1999,10,5,80,0.32,0.4,0.05,0.21,0.11
33,2274,14,1,62,0.32,0.08,0.1,0.22,0.15
30,2208,12,1,12,0.32,0.16,0.08,0.47,0.15
14,204,6,4,150,0.32,0.32,0.05,0.97,0.12
125,1780,14,1,74,0.32,0.24,0.01,0.93,0.05
125,646,14,4,43,0.32,0.48,0.01,0.52,0.29
13,1983,30,1,22,0.32,0.24,0.05,0.11,0.12
141,2301,14,1,135,0.32,0.48,0.02,0.23,0.32
11,1129,9,4,88,0.32,0.32,0.05,0.9,0.12
4,2547,13,4,90,0.32,0.08,0.06,0.07,0.11
144,1416,15,2,32,0.32,0.16,0.25,0.06,0.17
7,2796,28,5,58,0.32,0.4,0.03,0.78,0.55
27,2973,28,3,99,0.32,0.24,0.04,0.11,0.96
47,1080,26,6,80,0.32,0.32,0.11,0.74,0.17
140,2366,18,2,87,0.32,0.4,0.03,0.16,0.32
15,351,22,2,42,0.32,0.48,0.04,0.26,0.12
142,198,15,3,59,0.32,0.16,0.03,0.23,0.32
4,57,8,6,23,0.32,0.24,0.02,0.76,0.11
39,2099,25,4,147,0.32,0.16,0.07,0.89,0.16
138,2424,20,4,46,0.32,0.16,0.05,0.93,0.31
132,813,30,5,40,0.32,0.4,0.06,0.94,0.3
25,2951,25,2,125,0.32,0.24,0.07,0.18,0.36
57,2403,11,2,57,0.32,0.32,0.1,0.87,0.19
142,807,21,4,98,0.32,0.16,0.02,0.67,0.32
43,1191,5,6,68,0.32,0.24,0.1,0.13,0.17
13,1571,13,5,113,0.32,0.08,0.04,0.48,0.12
3,2780,6,6,48,0.32,0.16,0.02,0.02,0.62
82,989,14,2,58,0.32,0.08,0.13,0.11,0.23
3,147,23,3,85,0.32,0.16,0.03,0.87,0.1
141,286,30,3,54,0.32,0.24,0.01,0.98,0.32
149,1614,8,4,59,0.32,0.16,0.03,0.27,0.21
144,826,23,6,147,0.32,0.52,0.01,0.84,0.32
6,2244,25,5,79,0.32,0.24,0.03,0.74,0.11
26,2221,10,6,56,0.32,0.24,0.08,0.99,0.14
59,751,15,3,150,0.32,0.24,0.15,0.87,0.19
140,703,7,5,89,0.32,0.16,0.03,0.53,0.43
138,2537,14,3,30,0.32,0.4,0.01,0.29,0.31
1,2890,7,2,79,0.32,0.16,0.04,0.53,0.1
11,1876,12,5,39,0.32,0.52,0.03,0.23,0.12
23,799,17,3,14,0.32,0.24,0.04,0.8,0.42
4,1080,28,2,141,0.32,0.08,0.03,0.54,0.11
3,2745,14,6,49,0.32,0.32,0.05,0.04,0.1
139,1037,13,6,118,0.32,0.16,0.02,0.29,0.31
132,1363,28,5,80,0.32,0.08,0.04,0.58,0.13
127,2444,7,6,47,0.32,0.32,0.02,0.38,0.3
3,2743,18,6,14,0.32,0.24,0.03,0.01,0.1
141,1803,18,2,100,0.32,0.16,0.02,0.96,0.32
142,240,23,6,88,0.32,0.16,0.01,0.36,0.32
129,1269,16,2,123,0.32,0.32,0.02,0.73,0.3
16,1308,12,3,97,0.32,0.08,0.04,0.08,0.12
6,56,27,6,107,0.32,0.16,0.06,0.43,0.11
56,2012,7,1,10,0.32,0.24,0.1,0.43,0.82
105,1299,19,6,139,0.32,0.24,-0.13,0.91,0.47
133,2004,17,2,40,0.32,0.16,0.02,0.21,0.3
25,1100,16,2,100,0.32,0.24,0.07,0.19,0.14
118,421,8,5,132,0.32,0.16,-0.0,0.37,0.83
142,1861,22,1,89,0.32,0.64,0.04,0.74,0.32
137,633,28,4,57,0.32,0.16,0.02,0.38,0.31
148,1922,29,1,148,0.32,0.32,0.03,0.38,0.33
134,996,25,5,108,0.32,0.16,0.01,0.51,0.31
2,2919,28,1,95,0.32,0.24,0.03,0.62,0.1
143,316,10,2,15,0.32,0.48,0.02,0.08,0.32
135,2958,9,6,37,0.32,0.16,0.01,0.58,0.64
1,1664,16,1,131,0.32,0.16,0.05,0.62,0.37
32,2413,7,4,114,0.32,0.32,0.09,0.29,0.15
1,1297,13,2,94,0.32,0.16,0.04,0.57,0.87
10,876,19,5,33,0.32,0.16,0.05,0.36,0.12
79,300,16,1,102,0.32,0.16,0.16,0.17,0.22
0,2419,22,5,144,0.32,0.32,0.04,0.82,0.5
30,2735,13,2,62,0.32,0.16,0.08,0.49,0.15
115,1411,26,3,141,0.32,0.16,-0.0,0.4,0.28
113,691,11,6,45,0.32,0.08,0.02,0.48,0.27
30,346,21,3,27,0.32,0.16,0.08,0.71,0.38
138,1309,12,5,24,0.32,0.16,0.03,0.37,0.31
13,31,12,1,88,0.32,0.24,0.06,0.66,0.12
0,1800,22,5,63,0.32,0.16,0.04,0.72,0.5
27,2912,7,6,10,0.32,0.16,0.08,0.67,0.14
43,2804,7,1,51,0.32,0.52,0.09,0.94,0.17
97,2902,26,4,36,0.32,0.24,0.16,0.71,0.56
142,2974,27,3,145,0.32,0.16,0.01,0.05,0.32
116,220,19,6,78,0.32,0.32,0.2,0.26,0.99
132,1195,26,1,56,0.32,0.16,0.03,0.0,0.01
35,2103,10,2,72,0.32,0.4,0.08,0.34,0.15
137,189,6,2,47,0.32,0.32,0.02,0.06,0.31
148,2548,16,2,123,0.32,0.16,0.03,0.5,0.33
293,159,15,6,13,0.32,0.16,0.44,0.24,0.09
16,1556,7,5,108,0.32,0.16,0.05,0.32,0.79
21,1016,12,1,10,0.32,0.08,0.06,0.0,0.13
133,398,21,4,66,0.32,0.16,0.06,0.33,0.3
31,2240,23,4,80,0.32,0.4,0.08,0.11,0.15
140,1577,8,5,21,0.32,0.16,0.03,0.6,0.32
149,492,23,1,61,0.32,0.32,0.02,0.18,0.38
133,841,23,2,87,0.32,0.16,0.0,0.73,0.3
15,2577,29,6,48,0.32,0.24,0.04,0.67,0.12
10,2506,23,4,48,0.32,0.24,0.03,0.92,0.12
135,1011,26,4,101,0.32,0.24,0.03,0.42,0.31
42,321,30,2,56,0.32,0.08,0.06,0.86,0.16
141,2840,7,1,137,0.32,0.16,0.03,0.07,0.51
132,2016,14,1,39,0.32,0.08,0.02,0.41,0.3
52,354,13,3,101,0.32,0.24,0.12,0.07,0.18
134,1860,12,3,39,0.32,0.24,0.02,0.88,0.31
38,2763,14,3,137,0.32,0.48,0.07,0.06,0.16
139,2589,21,4,78,0.32,0.24,0.02,0.43,0.31
25,173,22,1,10,0.32,0.24,0.08,0.64,0.14
62,1576,30,3,48,0.32,0.4,0.12,0.37,0.36
131,2848,16,5,73,0.32,0.16,0.02,0.94,0.3
46,798,22,6,21,0.32,0.24,0.06,0.28,0.17
147,1787,28,1,99,0.32,0.4,0.04,0.34,0.33
105,2787,22,4,134,0.32,0.32,0.0,0.55,0.26
40,179,12,2,80,0.32,0.16,0.09,0.55,0.57
5,847,30,6,48,0.32,0.16,0.02,0.63,0.11
14,824,29,1,40,0.32,0.24,0.05,0.98,0.12
27,258,7,3,34,0.32,0.24,0.05,0.93,0.14
27,2248,8,5,65,0.32,0.24,0.08,0.93,0.96
5,1708,26,1,43,0.32,0.48,0.04,0.04,0.11
24,1470,26,3,29,0.32,0.24,0.06,0.44,0.72
143,405,9,5,13,0.32,0.24,0.02,0.53,0.32
122,1572,24,6,32,0.32,0.24,0.01,0.51,0.29
13,390,8,5,34,0.32,0.08,0.03,0.29,0.12
26,126,9,4,65,0.32,0.48,0.04,0.14,0.27
148,176,11,1,115,0.32,0.24,0.02,0.66,0.33
8,792,27,3,57,0.32,0.16,0.03,0.97,0.51
149,1418,19,1,13,0.32,0.16,0.01,0.39,0.33
5,2426,30,1,102,0.32,0.32,0.04,0.54,0.98
129,308,28,4,130,0.32,0.24,0.03,0.74,0.3
639,1283,15,3,91,0.32,0.68,0.95,0.47,0.55
10,430,25,5,130,0.32,0.24,0.04,0.82,0.12
13,2459,16,2,54,0.32,0.08,0.03,0.22,0.12
16,2768,23,6,80,0.32,0.24,0.03,0.3,0.12
93,1246,29,3,35,0.32,0.08,0.15,0.92,0.24
145,2497,7,5,96,0.32,0.24,0.02,0.52,0.32
141,1274,18,2,14,0.32,0.24,0.03,0.56,0.32
136,692,11,1,101,0.32,0.4,-0.0,0.67,0.31
0,2908,10,1,15,0.32,0.32,0.02,0.89,0.5
9,73,14,3,93,0.32,0.08,0.02,0.59,0.11
13,2623,7,3,85,0.32,0.16,0.06,0.83,0.12
10,1267,25,2,21,0.32,0.16,0.06,0.78,0.12
40,2205,9,5,81,0.32,0.24,0.09,0.22,0.16
139,1305,10,2,46,0.32,0.16,0.04,0.72,0.31
115,466,23,4,20,0.32,0.08,0.0,0.72,0.28
137,170,11,5,67,0.32,0.48,0.03,0.1,0.31
127,2195,17,6,121,0.16,0.08,0.01,0.2,0.3
149,2866,23,1,74,0.16,0.48,0.01,0.24,0.33
8,2592,23,2,45,0.16,0.4,0.05,0.85,0.11
130,947,27,6,110,0.16,0.64,0.03,0.33,0.3
1,620,10,5,122,0.16,0.16,0.03,0.74,0.1
146,1840,15,2,42,0.16,0.32,0.02,0.84,0.0
6,1526,27,6,147,0.16,0.4,0.03,0.81,0.11
42,2240,16,1,23,0.16,0.32,0.08,0.99,0.16
142,699,25,3,91,0.16,0.24,0.01,0.86,0.32
13,2318,27,2,137,0.16,0.16,0.04,0.85,0.12
5,2879,22,1,23,0.16,0.16,0.02,0.46,0.97
134,1432,22,3,75,0.16,0.32,0.02,0.32,0.31
17,2039,18,1,95,0.16,0.16,0.03,0.38,0.27
40,1932,13,4,52,0.16,0.24,0.04,0.18,0.16
2,1898,8,6,44,0.16,0.16,0.02,0.34,0.1
50,2486,29,1,77,0.16,0.32,0.07,0.93,0.95
144,2233,27,5,23,0.16,0.52,0.01,0.83,0.32
50,1577,10,4,22,0.16,0.16,0.09,0.54,0.46
16,2822,17,4,125,0.16,0.16,0.05,0.64,0.18
7,1529,28,5,89,0.16,0.48,0.02,0.3,0.85
12,61,26,4,140,0.16,0.16,0.03,0.86,0.12
142,120,20,4,143,0.16,0.68,0.03,0.35,0.32
37,593,28,1,23,0.16,0.32,0.04,0.81,0.16
20,2699,25,1,57,0.16,0.48,0.05,0.46,0.77
1,2693,17,3,73,0.16,0.16,0.02,0.59,0.1
0,68,20,3,141,0.16,0.08,0.03,0.45,0.5
83,507,6,2,31,0.16,0.4,0.12,0.28,0.23
18,1876,13,6,114,0.16,0.16,0.04,0.1,0.13
25,1532,18,6,99,0.16,0.32,0.06,0.49,0.14
167,94,7,3,64,0.16,0.32,0.25,0.69,0.36
149,1662,29,2,32,0.16,0.32,0.01,0.73,0.33
137,1921,22,5,45,0.16,0.24,0.01,0.94,0.34
128,656,25,4,23,0.16,0.16,0.01,0.83,0.3
1,2869,23,1,77,0.16,0.48,0.03,0.22,0.07
8,983,9,1,93,0.16,0.16,0.04,0.34,0.11
44,1544,27,1,96,0.16,0.24,0.08,0.55,0.17
20,1338,8,6,61,0.16,0.48,0.06,0.91,0.13
11,1884,15,6,19,0.16,0.24,0.05,0.64,0.12
16,2502,8,1,93,0.16,0.24,0.05,0.93,0.52
2,978,16,1,36,0.16,0.08,0.04,0.76,0.7
17,1123,30,3,47,0.16,0.24,0.04,0.98,0.13
15,2063,18,4,135,0.16,0.52,0.05,0.73,0.12
25,487,21,2,91,0.16,0.08,0.05,0.9,0.14
16,2876,25,2,61,0.16,0.32,0.06,0.65,0.12
24,101,15,6,147,0.16,0.24,0.05,0.7,0.14
146,1295,26,1,43,0.16,0.4,0.03,0.35,0.32
147,282,16,2,57,0.16,0.32,0.02,0.8,0.33
63,1624,27,5,139,0.16,0.32,0.11,0.81,0.2
142,1086,24,4,95,0.16,0.24,0.03,0.86,0.32
16,1851,22,5,86,0.16,0.48,0.05,0.01,0.12
138,500,13,3,22,0.16,0.32,0.02,0.57,0.31
1,2412,22,5,84,0.16,0.32,0.01,0.34,0.1
0,2176,17,2,44,0.16,0.08,0.04,0.36,0.5
137,1354,5,5,146,0.16,0.24,0.01,0.44,0.16
129,1049,6,1,64,0.16,0.16,0.02,0.84,0.3
5,2653,13,2,103,0.16,0.16,0.05,0.5,0.11
134,2374,25,1,13,0.16,0.16,0.01,0.64,0.31
132,1102,10,4,50,0.16,0.48,0.0,0.97,0.3
126,2531,30,1,70,0.16,0.24,-0.0,0.49,0.29
24,781,28,4,123,0.16,0.32,0.05,0.67,0.28
138,1202,9,4,74,0.16,0.4,0.0,0.51,0.31
144,1850,26,3,109,0.16,0.48,-0.0,0.11,0.32
127,2473,6,5,63,0.16,0.32,0.0,0.2,0.49
138,1551,9,3,31,0.16,0.52,0.01,0.93,0.18
95,2153,20,4,134,0.16,0.32,0.01,0.58,0.25
148,967,24,5,122,0.16,0.48,0.03,0.68,0.32
79,2872,26,5,146,0.16,0.24,0.06,0.24,0.22
125,1784,29,4,66,0.16,0.48,0.0,0.58,0.49
123,1930,17,3,89,0.16,0.48,-0.01,0.59,0.29
33,2878,29,5,24,0.16,0.32,0.07,0.44,0.15
20,1408,14,6,150,0.16,0.32,0.04,0.43,0.09
46,2784,13,6,59,0.16,0.32,0.07,0.45,0.17
8,1520,24,5,84,0.16,0.08,0.05,0.73,0.84
142,1586,30,4,143,0.16,0.16,0.01,0.42,0.32
132,70,6,2,26,0.16,0.48,-0.0,0.65,0.82
146,1290,12,3,74,0.16,0.16,0.02,0.61,0.32
13,1975,25,1,16,0.16,0.32,0.04,0.41,0.63
144,1003,17,4,81,0.16,0.32,0.02,0.21,0.13
149,825,26,3,52,0.16,0.4,0.04,0.05,0.33
10,1758,29,4,56,0.16,0.48,0.04,0.71,0.12
8,2378,17,5,106,0.16,0.48,0.03,0.33,0.11
141,996,15,5,36,0.16,0.16,0.01,0.42,0.32
21,1011,22,1,91,0.16,0.32,0.03,0.9,0.13
36,2352,13,3,100,0.16,0.32,0.05,0.09,0.16
14,679,21,4,74,0.16,0.24,0.05,1.0,0.12
124,2644,11,4,117,0.16,0.08,0.01,0.65,0.29
127,865,30,6,126,0.16,0.16,0.03,0.49,0.65
17,564,16,2,28,0.16,0.24,0.04,0.66,0.13
130,2443,15,6,39,0.16,0.24,0.03,0.43,0.3
6,2722,17,4,31,0.16,0.52,0.03,0.44,0.11
21,2932,11,3,83,0.16,0.16,0.06,0.94,0.11
136,1518,12,1,109,0.16,0.24,0.01,0.86,0.31
91,194,22,4,61,0.16,0.32,0.02,0.08,0.24
6,1182,14,1,131,0.16,0.16,0.03,0.48,0.93
33,2211,15,2,27,0.16,0.32,0.04,0.15,0.49
148,816,12,5,85,0.16,0.48,0.08,0.33,0.33
9,2508,27,5,116,0.16,0.16,0.04,0.02,0.11
139,1364,20,3,95,0.16,0.32,0.01,0.29,0.31
10,674,22,1,47,0.16,0.16,0.02,0.81,0.12
31,1198,6,5,62,0.16,0.32,0.07,0.77,0.15
149,297,26,5,137,0.16,0.52,0.02,0.91,0.32
15,1169,13,6,77,0.16,0.16,0.03,0.84,0.12
9,2954,22,4,42,0.16,0.48,0.06,0.4,0.11
10,2754,11,4,51,0.16,0.24,0.03,0.26,0.37
4,792,8,1,123,0.16,0.48,0.02,0.69,0.11
5,2376,25,1,104,0.16,0.24,0.04,0.19,0.11
137,2433,27,2,14,0.16,0.24,0.02,0.01,0.31
3,2324,10,3,56,0.16,0.16,0.01,0.56,0.1
13,925,15,3,26,0.16,0.16,0.05,0.64,0.12
135,2396,17,6,131,0.16,0.48,0.0,0.17,0.31
21,798,7,6,72,0.16,0.32,0.0,0.32,0.13
14,2438,23,1,99,0.16,0.32,0.05,0.9,0.12
2,1443,28,5,65,0.16,0.24,0.02,0.77,0.1
13,2109,15,3,47,0.16,0.24,0.05,0.3,0.69
136,2571,7,4,149,0.16,0.24,0.0,0.79,0.08
34,122,25,1,35,0.16,0.16,0.07,0.25,0.15
4,817,10,3,40,0.16,0.24,0.03,0.58,0.11
7,2129,5,2,21,0.16,0.4,0.05,0.74,0.24
140,2115,6,3,24,0.16,0.16,0.01,0.51,0.32
3,1573,23,5,144,0.16,0.24,0.03,0.48,0.1
21,2746,12,5,75,0.16,0.4,0.05,0.41,0.38
16,1638,6,6,118,0.16,0.16,0.06,0.65,0.12
140,2158,10,5,141,0.16,0.16,0.01,0.76,0.32
146,1089,23,3,139,0.16,0.4,0.02,0.13,0.32
145,1400,25,3,48,0.16,0.32,0.02,0.31,0.32
136,1879,11,5,21,0.16,0.48,-0.0,0.87,0.31
127,555,15,4,135,0.16,0.48,0.01,0.16,0.3
2,2470,14,3,133,0.16,0.24,0.03,0.05,0.3
147,229,24,3,63,0.16,0.16,0.03,0.58,0.33
146,56,5,5,30,0.16,0.16,0.03,0.31,0.32
13,430,17,3,11,0.16,0.16,0.05,0.32,0.62
2,1023,16,2,135,0.16,0.16,0.03,0.75,0.1
38,1684,16,2,111,0.16,0.16,0.07,0.82,0.16
13,2389,30,5,90,0.16,0.48,0.04,0.16,0.12
134,2192,26,2,133,0.16,0.4,0.02,0.95,0.0
6,678,23,4,121,0.16,0.4,0.03,0.16,0.11
8,2533,29,1,127,0.16,0.64,0.03,0.94,0.23
140,728,11,5,61,0.16,0.16,0.01,0.74,0.46
15,2075,24,4,110,0.16,0.32,0.06,0.35,0.12
2,1452,11,5,41,0.16,0.4,0.03,0.18,0.1
5,1749,22,1,36,0.16,0.24,0.06,0.21,0.11
43,125,30,5,77,0.16,0.16,0.09,0.55,0.17
95,2574,18,6,147,0.16,0.32,0.03,0.14,0.25
32,1871,17,1,50,0.16,0.48,0.05,0.54,0.15
135,563,5,4,104,0.16,0.24,0.01,0.04,0.31
147,2864,8,5,99,0.16,0.32,0.01,0.74,0.04
24,2111,14,4,48,0.16,0.4,0.06,0.33,0.14
32,2959,22,4,94,0.16,0.32,0.07,0.85,0.91
35,2213,23,6,127,0.16,0.48,0.07,0.98,0.15
132,1282,11,2,79,0.16,0.24,0.01,0.99,0.3
33,386,23,4,48,0.16,0.32,0.08,0.5,0.15
11,127,8,6,43,0.16,0.16,0.03,0.69,0.12
4,1629,21,5,123,0.16,0.16,0.02,0.53,0.11
24,2169,15,5,147,0.16,0.4,0.03,0.35,0.93
135,306,17,2,51,0.16,0.16,0.02,0.05,0.31
127,939,21,3,80,0.16,0.24,0.01,0.28,0.3
146,2056,18,6,31,0.16,0.16,0.02,0.54,0.32
148,701,19,5,87,0.16,0.16,0.04,0.27,0.33
146,1867,25,6,47,0.16,0.24,0.01,0.37,0.32
19,2877,21,3,86,0.16,0.16,0.05,0.44,0.13
148,29,11,2,70,0.16,0.16,0.03,0.69,0.33
48,1880,20,3,43,0.16,0.16,0.07,0.67,0.17
45,1544,8,1,120,0.16,0.32,0.04,0.67,0.17
33,1886,12,3,42,0.16,0.32,0.05,0.37,0.15
141,2386,25,1,48,0.16,0.08,0.02,0.33,0.32
15,1085,15,1,79,0.16,0.4,0.05,0.18,0.12
19,2747,28,4,108,0.16,0.32,0.03,0.91,0.13
140,2049,27,1,58,0.16,0.24,0.05,0.74,0.32
145,2846,12,2,72,0.16,0.24,0.01,0.14,0.32
142,2367,17,2,91,0.16,0.32,0.01,0.3,0.32
33,1618,17,5,17,0.16,0.16,0.05,0.95,0.66
0,1495,27,2,133,0.16,0.16,0.02,0.33,0.5
21,681,8,4,16,0.16,0.08,0.04,0.42,0.13
142,474,28,6,36,0.16,0.4,0.01,0.48,0.32
29,1160,13,4,141,0.16,0.32,0.07,0.51,0.14
1,1966,14,3,142,0.16,0.16,0.04,0.71,0.1
2,1965,20,3,123,0.16,0.48,0.02,0.53,0.1
33,2804,15,2,96,0.16,0.16,0.07,0.49,0.12
11,1306,9,2,123,0.16,0.68,0.04,0.66,0.02
0,1685,10,6,78,0.16,0.16,0.02,0.8,0.5
9,390,7,5,131,0.16,0.16,0.04,0.46,0.11
2,2857,7,6,104,0.16,0.32,0.03,0.21,0.18
21,1109,19,1,142,0.16,0.32,0.05,0.14,0.15
5,408,10,2,107,0.16,0.24,0.04,0.71,0.11
147,1288,10,2,37,0.16,0.24,0.03,0.6,0.33
2,334,25,6,89,0.16,0.32,0.04,0.53,0.61
6,1828,12,3,49,0.16,0.48,0.04,0.88,0.11
121,1408,27,2,98,0.16,0.48,0.01,0.48,0.77
2,2289,18,4,73,0.16,0.16,0.02,0.81,0.93
1,2824,18,6,124,0.16,0.32,0.02,0.39,0.1
2,2714,5,6,34,0.16,0.32,0.02,0.17,0.1
22,2277,11,4,61,0.16,0.24,0.05,0.1,0.3
9,2796,26,5,15,0.16,0.24,0.04,0.14,0.11
137,1276,25,5,23,0.16,0.16,0.02,0.03,0.67
146,2289,21,4,141,0.16,0.16,0.02,0.12,0.32
42,1722,10,2,51,0.16,0.32,0.08,0.09,0.79
22,223,7,2,65,0.16,0.48,0.06,0.04,0.13
19,2065,21,5,139,0.16,0.4,0.06,0.45,0.23
7,1418,26,6,99,0.16,0.32,0.03,0.98,0.11
28,2902,30,6,14,0.16,0.4,0.03,0.73,0.14
141,1799,8,3,39,0.16,0.4,0.03,0.93,0.32
140,2169,21,3,146,0.16,0.24,0.01,0.34,0.32
67,2238,19,4,86,0.16,0.32,0.11,0.27,0.2
12,1788,16,5,28,0.16,0.32,0.04,0.58,0.12
8,2157,7,4,45,0.16,0.32,0.04,0.57,0.11
141,655,7,3,90,0.16,0.32,0.03,0.25,0.32
9,53,16,6,65,0.16,0.08,0.04,0.45,0.11
138,2064,6,6,70,0.16,0.32,0.0,0.36,0.31
2,820,11,4,52,0.16,0.08,0.05,0.78,0.1
10,1560,21,3,109,0.16,0.08,0.03,0.1,0.12
63,2655,28,2,107,0.16,0.32,0.11,0.89,0.2
145,1520,24,1,86,0.16,0.24,0.03,0.37,0.32
9,894,22,4,136,0.16,0.32,0.04,0.01,0.11
145,485,19,3,129,0.16,0.24,0.01,0.59,0.32
10,181,7,3,98,0.16,0.16,0.04,0.02,0.12
9,2742,16,3,144,0.16,0.48,0.03,0.09,0.11
67,176,25,3,143,0.16,0.24,0.12,0.15,0.2
15,1901,27,4,99,0.16,0.16,0.04,0.01,0.06
27,559,19,4,46,0.16,0.32,0.06,0.95,0.14
26,251,23,4,14,0.16,0.16,0.06,0.93,0.83
147,206,17,2,11,0.16,0.32,0.02,0.51,0.33
59,2855,18,6,54,0.16,0.24,0.11,0.03,0.19
139,419,15,6,132,0.16,0.24,0.01,0.36,0.31
14,1945,6,3,99,0.16,0.16,0.04,0.12,0.12
8,2244,26,6,53,0.16,0.16,0.01,0.34,0.34
18,1669,26,2,133,0.16,0.24,0.06,0.17,0.18
19,2832,22,5,113,0.16,0.08,0.06,0.2,0.13
140,318,10,5,118,0.16,0.16,0.03,0.18,0.71
149,2149,12,6,100,0.16,0.32,0.02,0.86,0.33
15,1795,18,1,12,0.16,0.32,0.04,0.55,0.12
26,2737,12,4,84,0.16,0.16,0.06,0.84,0.14
13,2514,18,3,126,0.16,0.48,0.03,0.77,0.12
42,2390,10,6,40,0.16,0.32,0.1,0.52,0.9
2,672,24,2,121,0.16,0.24,0.01,0.72,0.1
25,195,9,3,145,0.16,0.16,0.05,0.06,0.14
73,1299,12,1,18,0.16,0.16,0.12,0.15,0.21
11,2659,8,4,98,0.16,0.48,0.06,0.72,0.12
142,299,20,2,120,0.16,0.32,0.02,0.2,0.32
30,1299,24,2,94,0.16,0.16,0.05,0.64,0.15
27,776,10,2,143,0.16,0.08,0.07,0.45,0.14
0,2778,9,6,116,0.16,0.32,0.02,0.17,0.16
12,2167,19,1,68,0.16,0.48,0.04,0.15,0.12
24,1460,29,2,22,0.16,0.4,0.06,0.86,0.14
143,695,14,1,144,0.16,0.24,0.02,0.16,0.32
20,1351,30,5,124,0.16,0.24,0.05,0.64,0.13
137,2035,16,3,50,0.16,0.24,0.01,0.55,0.82
85,1656,26,5,116,0.16,0.08,0.15,0.35,0.23
78,867,19,3,23,0.16,0.24,0.13,0.69,0.83
12,1926,6,2,86,0.16,0.24,0.04,0.89,0.12
3,2578,17,1,14,0.16,0.32,0.04,0.38,0.1
1,640,8,3,111,0.16,0.16,0.01,0.14,0.1
141,357,24,1,115,0.16,0.32,0.01,0.46,0.32
145,2012,19,4,50,0.16,0.48,0.02,0.16,0.59
37,2263,27,4,121,0.16,0.32,0.07,0.27,0.16
11,2647,23,6,150,0.16,0.16,0.04,0.68,0.12
0,2927,23,3,65,0.16,0.48,0.02,0.14,0.5
21,2166,25,6,40,0.16,0.24,0.06,0.58,0.13
10,743,29,6,86,0.16,0.48,0.04,0.77,0.79
143,925,22,2,124,0.16,0.16,0.01,0.0,0.32
141,2668,6,5,84,0.16,0.16,0.01,0.58,0.54
59,383,12,1,77,0.16,0.24,0.1,0.7,0.26
57,1138,8,4,89,0.16,0.24,0.09,0.56,0.8
15,2274,29,4,114,0.16,0.32,0.06,0.59,0.12
19,2014,19,2,59,0.16,0.24,0.05,0.43,0.13
3,1172,18,4,15,0.16,0.24,0.02,0.59,0.58
142,621,14,1,85,0.16,0.16,0.02,0.8,0.89
25,2960,18,2,32,0.16,0.16,0.04,0.63,0.14
10,77,27,6,39,0.16,0.32,0.04,0.06,0.12
36,1156,17,5,102,0.16,0.4,0.05,0.24,0.16
142,918,8,3,58,0.16,0.32,0.01,0.35,0.32
149,1235,29,5,28,0.16,0.32,0.02,0.21,0.33
70,1891,12,2,106,0.16,0.16,0.11,0.67,0.21
11,907,11,2,95,0.16,0.32,0.04,0.31,0.72
7,549,16,3,77,0.16,0.16,0.05,0.82,0.11
15,2589,11,3,82,0.16,0.08,0.05,0.79,0.12
106,2375,29,5,107,0.16,0.48,0.15,0.8,0.26
12,942,27,6,13,0.16,0.16,0.04,0.54,0.12
48,1754,8,6,104,0.16,0.4,0.09,0.28,0.17
10,2159,18,3,49,0.16,0.24,0.05,0.18,0.53
41,1256,29,5,148,0.16,0.32,0.09,0.76,0.02
24,1984,27,4,101,0.16,0.32,0.06,0.2,0.14
84,2599,10,4,136,0.16,0.4,0.15,0.13,0.23
17,1440,27,2,137,0.16,0.32,0.04,0.99,0.13
15,120,16,5,142,0.16,0.24,0.05,0.19,0.13
2,756,24,6,117,0.16,0.32,0.03,0.24,0.95
3,1631,25,5,66,0.16,0.16,0.03,0.85,0.1
145,2563,25,1,66,0.16,0.16,0.02,0.52,0.32
140,691,21,6,105,0.16,0.32,0.01,0.68,0.32
15,1137,27,4,116,0.16,0.24,0.04,0.36,0.12
23,1269,13,3,45,0.16,0.32,0.06,0.38,0.32
36,2272,9,5,33,0.16,0.16,0.07,0.35,0.16
29,2489,21,1,147,0.16,0.16,0.07,0.13,0.14
28,2489,8,2,84,0.16,0.32,0.06,0.69,0.14
9,585,6,4,122,0.16,0.52,0.03,0.31,0.11
83,2715,6,2,107,0.16,0.08,0.13,0.96,0.53
23,1750,15,6,72,0.16,0.16,0.05,0.97,0.49
26,2712,30,2,150,0.16,0.24,0.07,0.15,0.18
65,2530,18,3,18,0.16,0.24,0.11,0.65,0.2
142,1826,25,1,131,0.16,0.48,0.03,0.27,0.32
